Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML
P0A879	P0A879	TRPB_ECOLI	trpB						417436	
P0A881	P0A881	TRPR_ECOLI	trpR							
P0A884	P0A884	TYSY_ECOLI	thyA			358255			261852	
P0A887	P0A887	UBIE_ECOLI	ubiE							
P0A898	P0A898	YBEY_ECOLI	ybeY							
P0A8A0	P0A8A0	YEBC_ECOLI	yebC		520980	1.76665e+06	382234	1.66099e+06	2.01667e+06	435618
P0A8A2	P0A8A2	YEEN_ECOLI	yeeN			647295		519993	721472	
P0A8A8	P0A8A8	RIMP_ECOLI	rimP			249999		245080		
P0A8C4	P0A8C4	YGFB_ECOLI	ygfB					341166	458291	
P0A8D0	P0A8D0	NRDR_ECOLI	nrdR							
P0A8D3	P0A8D3	YAII_ECOLI	yaiI							
P0A8D6	P0A8D6	YMDB_ECOLI	ymdB							
P0A8E1	P0A8E1	YCFP_ECOLI	ycfP			549205			1.50365e+06	
P0A8E5	P0A8E5	YACL_ECOLI	yacL							
P0A8E7	P0A8E7	YAJQ_ECOLI	yajQ		784741	2.28672e+06	675861	2.293e+06	2.63494e+06	1.06001e+06
P0A8F0	P0A8F0	UPP_ECOLI	upp		429132	3.3465e+06	658501	3.67182e+06	3.65875e+06	713491
P0A8F8	P0A8F8	UVRB_ECOLI	uvrB							
P0A8G3	P0A8G3	UXAC_ECOLI	uxaC			594968				
P0A8G6	P0A8G6	NQOR_ECOLI	wrbA		1.2417e+06	5.4207e+06	1.38254e+06	4.18312e+06	5.67154e+06	1.45664e+06
P0A8G9	P0A8G9	EX7S_ECOLI	xseB			2.36093e+06		2.20772e+06	2.07941e+06	
P0A8H6	P0A8H6	YIHI_ECOLI	yihI							
P0A8I1	P0A8I1	YQGF_ECOLI	yqgF							
P0A8I3	P0A8I3	YAAA_ECOLI	yaaA							
P0A8I5	P0A8I5	TRMB_ECOLI	trmB			1.16603e+06		1.55692e+06		
P0A8J4	P0A8J4	YBED_ECOLI	ybeD			839453				
P0A8J8	P0A8J8	RHLB_ECOLI	rhlB					317516		
P0A8L1	P0A8L1	SYS_ECOLI	serS		641447	4.84092e+06	904752	3.86071e+06	4.72331e+06	1.16527e+06
P0A8M0	P0A8M0	SYN_ECOLI	asnS		961453	4.25148e+06	969945	4.63108e+06	4.77191e+06	1.07845e+06
P0A8M0;Q96I59	P0A8M0;Q96I59;A0A8Q3SHL5;A0A8Q3SHT5;A0A8Q3WKD2;A0A8Q3WKE5;A0A8Q3WKX6;H0YE96	SYNM_HUMAN;SYN_ECOLI	NARS2;asnS			4.34918e+06	2.33934e+06	5.49802e+06	4.8505e+06	2.32946e+06
P0A8M3	P0A8M3	SYT_ECOLI	thrS		516478	2.28447e+06	594321	1.7504e+06	2.71922e+06	
P0A8M6	P0A8M6	YEEX_ECOLI	yeeX							
P0A8N3	P0A8N3	SYK1_ECOLI	lysS		803202	3.74736e+06	947308	3.00457e+06	4.1172e+06	782366
P0A8N3;P0A8N5	P0A8N3;P0A8N5	SYK1_ECOLI;SYK2_ECOLI	lysS;lysU		1.10233e+06	5.54019e+06	1.4226e+06	5.84093e+06	5.67723e+06	1.83516e+06
P0A8N5	P0A8N5	SYK2_ECOLI	lysU			1.14296e+06		986495	1.1767e+06	
P0A8P3	P0A8P3	FETP_ECOLI	yggX			1.22258e+06	7.36068e+06	1.00796e+06	1.31873e+06	
P0A8R0	P0A8R0	RRAA_ECOLI	rraA			1.77067e+06		1.45203e+06	1.65959e+06	
P0A8R4	P0A8R4	SLYX_ECOLI	slyX							
P0A8S1	P0A8S1	ARGP_ECOLI	argP						283147	
P0A8T1	P0A8T1	PRMA_ECOLI	prmA		239399	404997	210739	350797	479265	
P0A8T7	P0A8T7	RPOC_ECOLI	rpoC			2.83885e+06	361891	2.87417e+06	3.21355e+06	668274
P0A8U2	P0A8U2	YAFD_ECOLI	yafD							
P0A8U6	P0A8U6	METJ_ECOLI	metJ					400768	417329	
P0A8V0	P0A8V0	RBN_ECOLI	rbn							
P0A8V2	P0A8V2	RPOB_ECOLI	rpoB		1.78486e+06	8.12693e+06	1.80248e+06	7.21673e+06	8.63901e+06	2.14364e+06
P0A8V6	P0A8V6	FADR_ECOLI	fadR							
P0A8W0	P0A8W0	NANR_ECOLI	nanR							
P0A8W2	P0A8W2	SLYA_ECOLI	slyA			1.2865e+06				
P0A8W5	P0A8W5	YQGE_ECOLI	yqgE							
P0A8W8	P0A8W8	YFBU_ECOLI	yfbU			1.36975e+06		1.62884e+06	1.54224e+06	
P0A8X0	P0A8X0	YJGA_ECOLI	yjgA			1.35143e+06		1.51935e+06	1.58086e+06	
P0A8X2	P0A8X2	YCEI_ECOLI	yceI			368441			394246	
P0A8X4	P0A8X4	YCCT_ECOLI	yccT							
P0A8Y3	P0A8Y3	YIHX_ECOLI	yihX					1.97435e+06	1.835e+06	
P0A8Y5	P0A8Y5	YIDA_ECOLI	yidA							
P0A8Z0	P0A8Z0	YCIA_ECOLI	yciA							
P0A8Z3	P0A8Z3	YBGC_ECOLI	ybgC							
P0A901	P0A901	BLC_ECOLI	blc							
P0A903	P0A903	BAMC_ECOLI	bamC							
P0A905	P0A905	SLYB_ECOLI	slyB							
P0A910	P0A910	OMPA_ECOLI	ompA			1.06608e+06	117608	788041	1.0969e+06	118568
P0A912	P0A912	PAL_ECOLI	pal							
P0A940	P0A940	BAMA_ECOLI	bamA			297757			325143	
P0A951	P0A951	ATDA_ECOLI	speG							
P0A953	P0A953	FABB_ECOLI	fabB		2.63419e+06	1.01904e+07	2.10607e+06	1.11869e+07	1.04741e+07	3.021e+06
P0A955	P0A955	ALKH_ECOLI	eda		4.40766e+06	1.82237e+07	4.21903e+06	1.94229e+07	2.00378e+07	4.77786e+06
P0A955;P41697	P0A955;P41697	ALKH_ECOLI;BUD6_YEAST	BUD6;eda				3.73443e+06	1.44852e+07	1.20678e+07	
P0A959	P0A959	ALAA_ECOLI	alaA							
P0A962	P0A962	ASPG1_ECOLI	ansA			253556		301919	380671	
P0A964	P0A964	CHEW_ECOLI	cheW			1.06866e+06		1.28657e+06	1.06148e+06	210769
P0A968	P0A968	CSPD_ECOLI	cspD							
P0A972	P0A972	CSPE_ECOLI	cspE		4.38477e+06	1.50598e+07	3.91224e+06	1.48734e+07	1.57263e+07	4.09648e+06
P0A988	P0A988	DPO3B_ECOLI	dnaN			863804	128879	838009	929294	716344
P0A991	P0A991	ALF1_ECOLI	fbaB		635600	2.24089e+06	575889	2.10838e+06	2.50167e+06	631626
P0A993	P0A993	F16PA_ECOLI	fbp		375668	1.45392e+06		1.50347e+06	1.72246e+06	
P0A996	P0A996	GLPC_ECOLI	glpC							
P0A998	P0A998	FTNA_ECOLI	ftnA			79171.6			145110	
P0A9A6	P0A9A6	FTSZ_ECOLI	ftsZ			514678		500281	621681	
P0A9A9	P0A9A9	FUR_ECOLI	fur		1.56462e+06	4.62296e+06	1.76011e+06	5.63302e+06	6.14895e+06	1.3544e+06
P0A9B2	P0A9B2	G3P1_ECOLI	gapA		3.05857e+07	1.20758e+08	3.18161e+07	1.27274e+08	1.2911e+08	3.37355e+07
P0A9C0	P0A9C0	GLPA_ECOLI	glpA							
P0A9C3	P0A9C3	GALM_ECOLI	galM			492971		303639	673741	
P0A9C5	P0A9C5	GLN1B_ECOLI	glnA		3.18734e+06	1.27403e+07	3.42247e+06	1.15088e+07	1.33072e+07	3.60889e+06
P0A9C9	P0A9C9	GLPX_ECOLI	glpX							
P0A9D2	P0A9D2	GSTA_ECOLI	gstA			919123		692815		
P0A9D4	P0A9D4	CYSE_ECOLI	cysE							
P0A9D8	P0A9D8	DAPD_ECOLI	dapD		978161	4.9917e+06	1.13542e+06	5.74653e+06	5.39071e+06	1.37098e+06
P0A9F1	P0A9F1	MNTR_ECOLI	mntR							
P0A9F3	P0A9F3	CYSB_ECOLI	cysB							
P0A9F6	P0A9F6	GCVA_ECOLI	gcvA							
P0A9G2	P0A9G2	NHAR_ECOLI	nhaR							
P0A9G6	P0A9G6	ACEA_ECOLI	aceA		4.88261e+06	2.02373e+07	4.80438e+06	2.06921e+07	2.19965e+07	4.94454e+06
P0A9G8	P0A9G8	MODE_ECOLI	modE							
P0A9H1	P0A9H1	MUG_ECOLI	mug							
P0A9H5	P0A9H5	BTUR_ECOLI	btuR							
P0A9H9	P0A9H9	CHEZ_ECOLI	cheZ							
P0A9J0	P0A9J0	RNG_ECOLI	rng							
P0A9J6	P0A9J6	RBSK_ECOLI	rbsK		873680	4.17848e+06	491010	4.2832e+06	4.5046e+06	1.3245e+06
P0A9J8	P0A9J8	CMPDT_ECOLI	pheA		647437	3.31484e+06	745578	2.81983e+06	3.56392e+06	479331
P0A9K3	P0A9K3	PHOL_ECOLI	ybeZ			1.4713e+06		1.21405e+06	1.59576e+06	218784
P0A9K9	P0A9K9	SLYD_ECOLI	slyD		1.51257e+06	3.15144e+06	1.24555e+06	3.36619e+06	3.2374e+06	1.40052e+06
P0A9L3	P0A9L3	FKBB_ECOLI	fklB		1.37557e+06	5.01356e+06	1.48518e+06	4.93909e+06	5.74891e+06	1.4363e+06
P0A9L5	P0A9L5	PPIC_ECOLI	ppiC			505330			532431	
P0A9L8	P0A9L8	P5CR_ECOLI	proC						304446	
P0A9M0	P0A9M0	LON_ECOLI	lon			1.52009e+06	139601	1.06518e+06	1.67133e+06	424398
P0A9M2	P0A9M2	HPRT_ECOLI	hpt							
P0A9M5	P0A9M5	XGPT_ECOLI	gpt			3.59261e+06		4.77003e+06	3.65446e+06	
P0A9M8	P0A9M8	PTA_ECOLI	pta		531761	2.38182e+06	382029	1.89607e+06	2.36559e+06	286337
P0A9N4	P0A9N4	PFLA_ECOLI	pflA			314864			172377	
P0A9P0	P0A9P0	DLDH_ECOLI	lpdA		963637	4.81397e+06	1.05142e+06	4.15362e+06	5.21954e+06	1.21186e+06
P0A9P4	P0A9P4	TRXB_ECOLI	trxB			2.05033e+06		2.60917e+06	2.712e+06	668934
P0A9Q1	P0A9Q1	ARCA_ECOLI	arcA		518281	4.60946e+06	1.31149e+06	4.37077e+06	5.18456e+06	1.51383e+06
P0A9Q5	P0A9Q5	ACCD_ECOLI	accD			1.31601e+06		992935	1.1163e+06	261153
P0A9Q7	P0A9Q7	ADHE_ECOLI	adhE		2.29113e+06	9.72804e+06	2.1721e+06	9.31391e+06	1.03277e+07	2.50301e+06
P0A9Q9	P0A9Q9	DHAS_ECOLI	asd			4.37427e+06	352633	3.73247e+06	4.03278e+06	699532
P0A9R4	P0A9R4	FER_ECOLI	fdx			1.00073e+06		912904	1.21615e+06	188208
P0A9S1	P0A9S1	FUCO_ECOLI	fucO						2.03366e+06	
P0A9S5	P0A9S5	GLDA_ECOLI	gldA							
P0A9T0	P0A9T0	SERA_ECOLI	serA			2.27637e+06	604846	2.41757e+06	2.68977e+06	866065
P0A9T4	P0A9T4	TAS_ECOLI	tas							
P0A9U3	P0A9U3	YBIT_ECOLI	ybiT							
P0A9U6	P0A9U6	PUUR_ECOLI	puuR							
P0A9V1	P0A9V1	LPTB_ECOLI	lptB							
P0A9W0	P0A9W0	ULAR_ECOLI	ulaR							
P0A9W3	P0A9W3	ETTA_ECOLI	ettA		155613	1.44005e+06	286161	1.45533e+06	1.70723e+06	208493
P0A9X4	P0A9X4	MREB_ECOLI	mreB						335891	
P0A9X9	P0A9X9	CSPA_ECOLI	cspA			2.49077e+06	215593	2.40597e+06	2.55931e+06	492266
P0A9Y6	P0A9Y6	CSPC_ECOLI	cspC		1.10839e+07	4.38474e+07	1.18184e+07	3.82969e+07	4.77698e+07	1.17329e+07
P0A9Z1	P0A9Z1	GLNB_ECOLI	glnB					519559	445078	
P0AA04	P0AA04	PTHP_ECOLI	ptsH		2.05381e+06	9.18299e+06	2.07588e+06	9.51707e+06	9.52517e+06	2.17183e+06
P0AA10	P0AA10	RL13_ECOLI	rplM		562125	2.91788e+06		2.39105e+06	2.84601e+06	208043
P0AA16	P0AA16	OMPR_ECOLI	ompR			1.22656e+06			2.02018e+06	
P0AA25	P0AA25	THIO_ECOLI	trxA		3.48767e+06	1.3286e+07	3.21496e+06	1.3313e+07	1.34063e+07	3.51104e+06
P0AA31	P0AA31	YEDF_ECOLI	yedF							
P0AA39	P0AA39	RLUC_ECOLI	rluC			314251			503505	
P0AA43	P0AA43	RSUA_ECOLI	rsuA							
P0AA97	P0AA97	YAEQ_ECOLI	yaeQ							
P0AAB4	P0AAB4	UBID_ECOLI	ubiD			651965			506676	
P0AAB6	P0AAB6	GALF_ECOLI	galF			1.62012e+06		1.79929e+06	1.7645e+06	382265
P0AAB8	P0AAB8	USPD_ECOLI	uspD							
P0AAC0	P0AAC0	USPE_ECOLI	uspE			1.3672e+06		1.40168e+06	1.73637e+06	207891
P0AAC8	P0AAC8	ISCA_ECOLI	iscA			572210				
P0AAE0	P0AAE0	CYCA_ECOLI	cycA							
P0AAG0	P0AAG0	DPPD_ECOLI	dppD							
P0AAG8	P0AAG8	MGLA_ECOLI	mglA							
P0AAI3	P0AAI3	FTSH_ECOLI	ftsH							
P0AAI5	P0AAI5	FABF_ECOLI	fabF			2.00191e+06		2.9741e+06	2.82841e+06	608584
P0AAI9	P0AAI9	FABD_ECOLI	fabD			4.93268e+06	656657	4.01396e+06	5.48063e+06	
P0AAJ5	P0AAJ5	FDOH_ECOLI	fdoH							
P0AAN5	P0AAN5	YAIA_ECOLI	yaiA							
P0AAP3	P0AAP3	FRMR_ECOLI	frmR							
P0AAQ2	P0AAQ2	YAJD_ECOLI	yajD					469399	407947	
P0AAR3	P0AAR3	YBAK_ECOLI	ybaK							
P0AAS7	P0AAS7	YBCJ_ECOLI	ybcJ							
P0AAT6	P0AAT6	IOJAP_ECOLI	rsfS							
P0AAT9	P0AAT9	YBEL_ECOLI	ybeL		1.33889e+06	4.76127e+06	1.41244e+06	4.65644e+06	4.90533e+06	1.70681e+06
P0AAU7	P0AAU7	YBFE_ECOLI	ybfE							
P0AAV4	P0AAV4	PXPB_ECOLI	pxpB							
P0AAV6	P0AAV6	YBGS_ECOLI	ybgS		513833	2.75246e+06	723032	1.64319e+06	3.52241e+06	696509
P0AAX8	P0AAX8	YBIS_ECOLI	ybiS							
P0AAX8;P39176	P0AAX8;P39176	ERFK_ECOLI;YBIS_ECOLI	erfK;ybiS							
P0AAZ7	P0AAZ7	YCAR_ECOLI	ycaR			2.84562e+06	509822	2.44701e+06	2.55123e+06	
P0AB18	P0AB18	TUSE_ECOLI	tusE							
P0AB20	P0AB20	HSPQ_ECOLI	hspQ							
P0AB24	P0AB24	EFEO_ECOLI	efeO			446316		394880	524699	
P0AB28	P0AB28	YCED_ECOLI	yceD			1.40113e+06	266762	868184	1.31083e+06	273462
P0AB31	P0AB31	YCEK_ECOLI	yceK							1.4632e+06
P0AB40	P0AB40	BHSA_ECOLI	bhsA							
P0AB43	P0AB43	YCGL_ECOLI	ycgL							
P0AB52	P0AB52	YCHN_ECOLI	ychN					205282	1.08665e+06	
P0AB55	P0AB55	YCII_ECOLI	yciI							
P0AB61	P0AB61	YCIN_ECOLI	yciN			373133		429450	682755	
P0AB65	P0AB65	ACYP_ECOLI	yccX							
P0AB67	P0AB67	PNTB_ECOLI	pntB							
P0AB71	P0AB71	ALF_ECOLI	fbaA		1.96912e+06	9.21721e+06	2.09572e+06	9.02546e+06	1.01349e+07	2.22374e+06
P0AB77	P0AB77	KBL_ECOLI	kbl		954637	4.70981e+06	994178	4.31809e+06	4.60371e+06	1.15679e+06
P0AB80	P0AB80	ILVE_ECOLI	ilvE			2.16326e+06		975988	1.69046e+06	1.96713e+06
P0AB83	P0AB83	END3_ECOLI	nth							
P0AB87	P0AB87	FUCA_ECOLI	fucA							
P0AB89	P0AB89	PUR8_ECOLI	purB		113091	941774		906085	971889	
P0AB91	P0AB91	AROG_ECOLI	aroG			1.16395e+06		1.37507e+06	896637	
P0AB96	P0AB96	ARSC_ECOLI	arsC							
P0ABA0	P0ABA0	ATPF_ECOLI	atpF			494853	45765.1	426165	629725	
P0ABA4	P0ABA4	ATPD_ECOLI	atpH			1.57268e+06		1.08956e+06	1.35341e+06	
P0ABA6	P0ABA6	ATPG_ECOLI	atpG		600453	2.33479e+06	592305	2.25033e+06	2.38635e+06	551103
P0ABB0	P0ABB0	ATPA_ECOLI	atpA		3.7405e+06	1.38045e+07	3.55486e+06	1.35677e+07	1.47842e+07	3.49457e+06
P0ABB4	P0ABB4	ATPB_ECOLI	atpD		815810	4.62086e+06	968902	4.57827e+06	4.94803e+06	1.61694e+06
P0ABC3	P0ABC3	HFLC_ECOLI	hflC							
P0ABC7	P0ABC7	HFLK_ECOLI	hflK		552864	226775			292550	
P0ABD3	P0ABD3	BFR_ECOLI	bfr							
P0ABD5	P0ABD5	ACCA_ECOLI	accA			1.69848e+06		1.57126e+06	1.84573e+06	
P0ABD8	P0ABD8	BCCP_ECOLI	accB			3.8847e+06		6.47257e+06	4.45003e+06	
P0ABE2	P0ABE2	BOLA_ECOLI	bolA		397497	1.32235e+06	168912	1.37342e+06	1.08276e+06	187232
P0ABF1	P0ABF1	PCNB_ECOLI	pcnB							
P0ABF6	P0ABF6	CDD_ECOLI	cdd			795362		818718	1.06434e+06	
P0ABH7	P0ABH7	CISY_ECOLI	gltA		4.78771e+06	1.9583e+07	4.57592e+06	2.08152e+07	2.21862e+07	5.64169e+06
P0ABH9	P0ABH9	CLPA_ECOLI	clpA			420832			382076	
P0ABJ1	P0ABJ1	CYOA_ECOLI	cyoA							
P0ABJ9	P0ABJ9	CYDA_ECOLI	cydA							
P0ABK5	P0ABK5	CYSK_ECOLI	cysK		2.76539e+06	1.21002e+07	3.09092e+06	1.25228e+07	1.35763e+07	3.26351e+06
P0ABN5	P0ABN5	DCUA_ECOLI	dcuA							
P0ABP8	P0ABP8	DEOD_ECOLI	deoD		1.29283e+06	6.02674e+06	1.40923e+06	5.394e+06	5.64154e+06	2.34453e+06
P0ABQ0	P0ABQ0	COABC_ECOLI	coaBC							
P0ABQ2	P0ABQ2	GARR_ECOLI	garR			988230		1.29252e+06	1.57149e+06	
P0ABQ4	P0ABQ4	DYR_ECOLI	folA		190876	755421		785057	1.05843e+06	200432
P0ABS1	P0ABS1	DKSA_ECOLI	dksA			2.66397e+06	200228	2.34644e+06	2.46638e+06	
P0ABS5	P0ABS5	DNAG_ECOLI	dnaG							
P0ABT2	P0ABT2	DPS_ECOLI	dps		8.25227e+06	4.08115e+07	1.00576e+07	3.9336e+07	4.35785e+07	1.00121e+07
P0ABU0	P0ABU0	MENB_ECOLI	menB			286597		251746		
P0ABU2	P0ABU2	YCHF_ECOLI	ychF			813931		1.28395e+06	1.07419e+06	
P0ABU2;Q9NTK5	P0ABU2;Q9NTK5;J3KQ32	OLA1_HUMAN;YCHF_ECOLI	OLA1;ychF		9.48894e+06	1.1067e+07	8.52765e+06	1.09432e+07	8.32116e+06	1.08295e+07
P0ABU5	P0ABU5	ELBB_ECOLI	elbB			1.95489e+06		2.32852e+06	1.95975e+06	
P0ABZ1	P0ABZ1	FLIG_ECOLI	fliG							
P0ABZ6	P0ABZ6	SURA_ECOLI	surA			1.91512e+06		2.00785e+06	2.17203e+06	563074
P0AC13	P0AC13	DHPS_ECOLI	folP							
P0AC19	P0AC19	FOLX_ECOLI	folX			1.06806e+06		757888	1.28649e+06	
P0AC33	P0AC33	FUMA_ECOLI	fumA		2.49994e+06	1.12519e+07	2.58373e+06	1.0902e+07	1.31491e+07	2.46861e+06
P0AC33;P14407	P0AC33;P14407	FUMA_ECOLI;FUMB_ECOLI	fumA;fumB		1.62284e+06	7.55181e+06	1.32514e+06	6.04149e+06	7.9362e+06	1.70673e+06
P0AC38	P0AC38	ASPA_ECOLI	aspA		4.82062e+06	1.82167e+07	4.56593e+06	1.89482e+07	1.96232e+07	5.14709e+06
P0AC41	P0AC41	SDHA_ECOLI	sdhA		891456	5.51128e+06	1.15942e+06	5.10972e+06	5.7329e+06	1.30122e+06
P0AC47	P0AC47	FRDB_ECOLI	frdB			489452				
P0AC51	P0AC51	ZUR_ECOLI	zur							
P0AC53	P0AC53	G6PD_ECOLI	zwf			854744		791094	928111	
P0AC53;P11412;P11413	P0AC53;P11413;E7EM57;E7EUI8;A0A8Q3SIN6;A0A8Q3SIS5;A0A8Q3SJB9;A0A8Q3WL93;A0A8Q3WL95;A0A8Q3WLT0;E9PD92;A0A8Q3WL80;A0A8Q3WL83;P11412	G6PD_ECOLI;G6PD_HUMAN;G6PD_YEAST	G6PD;ZWF1;zwf		3.9169e+06	3.14906e+06	3.31402e+06	2.75314e+06	2.84147e+06	3.88697e+06
P0AC59	P0AC59	GLRX2_ECOLI	grxB			1.82091e+06		1.25603e+06	2.16347e+06	
P0AC62	P0AC62	GLRX3_ECOLI	grxC		1.23776e+06	6.41199e+06	1.211e+06	6.41531e+06	6.82986e+06	1.90297e+06
P0AC69	P0AC69	GLRX4_ECOLI	grxD		385916	2.60404e+06	643816	2.65915e+06	2.79527e+06	573330
P0AC81	P0AC81	LGUL_ECOLI	gloA					1.68665e+06	1.31611e+06	
P0AC84	P0AC84	GLO2_ECOLI	gloB			302098		282369	387968	
P0AC86	P0AC86	PHSG_ECOLI	glgP							
P0AC92	P0AC92	GNSA_ECOLI	gnsA							
P0ACA1	P0ACA1	YIBF_ECOLI	yibF			508315		583775	537207	
P0ACA3	P0ACA3	SSPA_ECOLI	sspA		1.0437e+06	5.05455e+06	1.15962e+06	4.93027e+06	5.55627e+06	1.436e+06
P0ACA7	P0ACA7	GSTB_ECOLI	gstB						518710	
P0ACB2	P0ACB2	HEM2_ECOLI	hemB			1.34569e+06	482054	1.78563e+06	1.96939e+06	862433
P0ACB7	P0ACB7	HEMY_ECOLI	hemY						79847.9	
P0ACC3	P0ACC3	ERPA_ECOLI	erpA		272117	2.57233e+06	532440	1.90766e+06	2.89152e+06	646033
P0ACC7	P0ACC7	GLMU_ECOLI	glmU			787219		795944	823427	
P0ACD4	P0ACD4	ISCU_ECOLI	iscU		761566	3.47179e+06	799591	3.48754e+06	3.83232e+06	974402
P0ACE0	P0ACE0	MBHM_ECOLI	hybC							
P0ACE7	P0ACE7	HINT_ECOLI	hinT		368593	2.89774e+06	795990	1.49876e+06	3.19992e+06	738762
P0ACF0	P0ACF0	DBHA_ECOLI	hupA		1.5779e+07	6.40257e+07	1.52129e+07	7.01762e+07	6.49825e+07	1.74006e+07
P0ACF4	P0ACF4	DBHB_ECOLI	hupB		6.84655e+06	2.54969e+07	5.87251e+06	2.47255e+07	2.38556e+07	6.23005e+06
P0ACF8	P0ACF8	HNS_ECOLI	hns		5.85824e+06	2.87324e+07	6.76272e+06	2.06883e+07	2.91609e+07	7.02854e+06
P0ACG1	P0ACG1	STPA_ECOLI	stpA							
P0ACG8	P0ACG8	HSLR_ECOLI	hslR							
P0ACI0	P0ACI0	ROB_ECOLI	rob							
P0ACI6	P0ACI6	ASNC_ECOLI	asnC			4.5129e+06	1.07499e+06	3.82319e+06	3.72681e+06	861832
P0ACJ0	P0ACJ0	LRP_ECOLI	lrp			5.1907e+06		4.82377e+06	4.62587e+06	
P0ACJ8	P0ACJ8	CRP_ECOLI	crp		2.61875e+06	8.04352e+06	1.90699e+06	7.64186e+06	7.85739e+06	1.94272e+06
P0ACK2	P0ACK2	AGAR_ECOLI	agaR							
P0ACK5	P0ACK5	DEOR_ECOLI	deoR							
P0ACK8	P0ACK8	FUCR_ECOLI	fucR							
P0ACL2	P0ACL2	EXUR_ECOLI	exuR							
P0ACM5	P0ACM5	YEGW_ECOLI	yegW							
P0ACN4	P0ACN4	ALLR_ECOLI	allR							
P0ACN7	P0ACN7	CYTR_ECOLI	cytR							
P0ACP5	P0ACP5	GNTR_ECOLI	gntR							
P0ACQ4	P0ACQ4	OXYR_ECOLI	oxyR							
P0ACR4	P0ACR4	YEIE_ECOLI	yeiE							
P0ACR9	P0ACR9	MPRA_ECOLI	mprA							
P0ACS7	P0ACS7	RPIR_ECOLI	rpiR							
P0ACT6	P0ACT6	UIDR_ECOLI	uidR							
P0ACU5	P0ACU5	FABR_ECOLI	fabR							
P0ACU7	P0ACU7	YJDC_ECOLI	yjdC			393254		805712		
P0ACW6	P0ACW6	YDCH_ECOLI	ydcH							
P0ACX3	P0ACX3	YDHR_ECOLI	ydhR			360120		397629	453042	
P0ACY1	P0ACY1	YDJA_ECOLI	ydjA			2.77163e+06	243586	2.93351e+06	2.84311e+06	360033
P0ACY3	P0ACY3	YEAG_ECOLI	yeaG			1.54358e+06		588968	1.67581e+06	
P0AD05	P0AD05	YECA_ECOLI	yecA						689540	
P0AD10	P0AD10	YECJ_ECOLI	yecJ							
P0AD12	P0AD12	YEEZ_ECOLI	yeeZ							
P0AD24	P0AD24	YEJL_ECOLI	yejL		173666	707113		635610	750138	200478
P0AD33	P0AD33	YFCZ_ECOLI	yfcZ		250594	1.96059e+06	355417	1.83635e+06	1.9768e+06	447733
P0AD49	P0AD49	YFIA_ECOLI	raiA			1.39935e+06		1.03686e+06	1.27065e+06	256381
P0AD61	P0AD61	KPYK1_ECOLI	pykF		2.31276e+06	1.18533e+07	2.28796e+06	1.18825e+07	1.21291e+07	2.67776e+06
P0AD96	P0AD96	LIVJ_ECOLI	livJ						202022	
P0ADA1	P0ADA1	TESA_ECOLI	tesA			230824				
P0ADA3	P0ADA3	NLPD_ECOLI	nlpD			241807			410165	
P0ADA5	P0ADA5	YAJG_ECOLI	yajG							
P0ADB7	P0ADB7	ECNB_ECOLI	ecnB			259170			410741	
P0ADE6	P0ADE6	KBP_ECOLI	kbp							
P0ADE8	P0ADE8	YGFZ_ECOLI	ygfZ		609506	3.08212e+06	748208	3.1259e+06	3.3224e+06	724081
P0ADG4	P0ADG4	SUHB_ECOLI	suhB			563725		329234	546003	
P0ADG7	P0ADG7	IMDH_ECOLI	guaB		1.27062e+06	5.43657e+06	1.41552e+06	6.15571e+06	6.12232e+06	1.25931e+06
P0ADI7	P0ADI7	YECD_ECOLI	yecD						716530	
P0ADK0	P0ADK0	YIAF_ECOLI	yiaF							
P0ADK8	P0ADK8	YIBL_ECOLI	yibL			786209		321598	492179	
P0ADN2	P0ADN2	YIFE_ECOLI	yifE		162069	1.47246e+06	387008	1.9111e+06	1.97849e+06	349821
P0ADP0	P0ADP0	YIGB_ECOLI	yigB							
P0ADP9	P0ADP9	YIHD_ECOLI	yihD							
P0ADQ2	P0ADQ2	FABY_ECOLI	fabY						276148	
P0ADR6	P0ADR6	RLMM_ECOLI	rlmM							
P0ADS2	P0ADS2	ZAPA_ECOLI	zapA			577279			314374	
P0ADS6	P0ADS6	YGGE_ECOLI	yggE			2.38152e+06		2.76832e+06	3.11882e+06	
P0ADS9	P0ADS9	YGGN_ECOLI	yggN							
P0ADT5	P0ADT5	YGIC_ECOLI	ygiC							
P0ADU2	P0ADU2	YGIN_ECOLI	ygiN						569333	
P0ADU5	P0ADU5	YGIW_ECOLI	ygiW			2.14523e+06		1.68847e+06	2.13858e+06	
P0ADV1	P0ADV1	LPTA_ECOLI	lptA			409260				
P0ADV5	P0ADV5	YHBW_ECOLI	yhbW							
